,POS,Sentiment
31,"[(u'I', 'PRP'), (u'found', 'VBD'), (u'place', 'NN'), (u'accid', 'NN'), (u'I', 'PRP'), (u'could', 'MD'), (u'happier', 'VB')]",1
32,"[(u'seem', 'NNS'), (u'like', 'IN'), (u'good', 'JJ'), (u'quick', 'JJ'), (u'place', 'NN'), (u'grab', 'NN'), (u'bite', 'NN'), (u'familiar', 'JJ'), (u'pub', 'NN'), (u'food', 'NN'), (u'favor', 'NN'), (u'look', 'NN'), (u'elsewher', 'NN')]",0
33,"[(u'overal', 'JJ'), (u'I', 'PRP'), (u'like', 'VBP'), (u'place', 'NN'), (u'lot', 'NN')]",1
34,"[(u'the', 'DT'), (u'redeem', 'NN'), (u'qualiti', 'NN'), (u'restaur', 'NN'), (u'inexpens', 'NNS')]",1
35,"[(u'ampl', 'JJ'), (u'portion', 'NN'), (u'good', 'JJ'), (u'price', 'NN')]",1
36,"[(u'poor', 'JJ'), (u'servic', 'NN'), (u'waiter', 'NN'), (u'made', 'VBD'), (u'feel', 'NN'), (u'like', 'IN'), (u'I', 'PRP'), (u'stupid', 'VBP'), (u'everi', 'JJ'), (u'time', 'NN'), (u'came', 'VBD'), (u'tabl', 'RB')]",0
37,"[(u'My', 'PRP$'), (u'first', 'JJ'), (u'visit', 'NN'), (u'hiro', 'NN'), (u'delight', 'NN')]",1
38,"[(u'servic', 'JJ'), (u'suck', 'NN')]",0
39,"[(u'the', 'DT'), (u'shrimp', 'NN'), (u'tender', 'NN'), (u'moist', 'NN')]",1
40,"[(u'there', 'RB'), (u'deal', 'VB'), (u'good', 'JJ'), (u'enough', 'RB'), (u'would', 'MD'), (u'drag', 'VB'), (u'establish', 'VB')]",0
41,"[(u'hard', 'JJ'), (u'judg', 'NN'), (u'whether', 'IN'), (u'side', 'NN'), (u'good', 'JJ'), (u'gross', 'JJ'), (u'melt', 'NNS'), (u'styrofoam', 'VBP'), (u'want', 'VBP'), (u'eat', 'NN'), (u'fear', 'NN'), (u'get', 'VBP'), (u'sick', 'JJ')]",0
42,"[(u'On', 'IN'), (u'posit', 'NN'), (u'note', 'NN'), (u'server', 'NN'), (u'attent', 'NN'), (u'provid', 'NN'), (u'great', 'JJ'), (u'servic', 'NN')]",1
43,"[(u'frozen', 'JJ'), (u'puck', 'NN'), (u'disgust', 'NN'), (u'worst', 'JJS'), (u'peopl', 'NN'), (u'behind', 'IN'), (u'regist', 'NN')]",0
44,"[(u'the', 'DT'), (u'thing', 'NN'), (u'I', 'PRP'), (u'like', 'VBP'), (u'prime', 'JJ'), (u'rib', 'NN'), (u'dessert', 'NN'), (u'section', 'NN')]",1
45,"[(u'It', 'PRP'), (u'bad', 'JJ'), (u'food', 'NN'), (u'damn', 'NN'), (u'gener', 'NN')]",0
46,"[(u'the', 'DT'), (u'burger', 'NN'), (u'good', 'JJ'), (u'beef', 'NN'), (u'cook', 'NN'), (u'right', 'NN')]",1
47,"[(u'If', 'IN'), (u'want', 'JJ'), (u'sandwich', 'NN'), (u'go', 'VBP'), (u'firehous', 'JJ')]",1
48,"[(u'My', 'PRP$'), (u'side', 'NN'), (u'greek', 'JJ'), (u'salad', 'NN'), (u'greek', 'JJ'), (u'dress', 'NN'), (u'tasti', 'NN'), (u'pita', 'NN'), (u'hummu', 'NN'), (u'refresh', 'NN')]",1
49,"[(u'We', 'PRP'), (u'order', 'NN'), (u'duck', 'VBD'), (u'rare', 'JJ'), (u'pink', 'JJ'), (u'tender', 'NN'), (u'insid', 'NN'), (u'nice', 'JJ'), (u'char', 'NN'), (u'outsid', 'NN')]",1
50,"[(u'He', 'PRP'), (u'came', 'VBD'), (u'run', 'VB'), (u'us', 'PRP'), (u'realiz', 'JJ'), (u'husband', 'NN'), (u'left', 'VBD'), (u'sunglass', 'NN'), (u'tabl', 'NN')]",1
51,"[(u'their', 'PRP$'), (u'chow', 'NN'), (u'mein', 'RB'), (u'good', 'JJ')]",1
52,"[(u'they', 'PRP'), (u'horribl', 'VBP'), (u'attitud', 'RB'), (u'toward', 'IN'), (u'custom', 'NN'), (u'talk', 'NN'), (u'one', 'CD'), (u'custom', 'NN'), (u'enjoy', 'NN'), (u'food', 'NN')]",0
53,"[(u'the', 'DT'), (u'portion', 'NN'), (u'huge', 'JJ')]",1
54,"[(u'love', 'VB'), (u'friendli', 'NN'), (u'server', 'RB'), (u'great', 'JJ'), (u'food', 'NN'), (u'wonder', 'NN'), (u'imagin', 'NN'), (u'menu', 'NN')]",1
55,"[(u'the', 'DT'), (u'heart', 'NN'), (u'attack', 'NN'), (u'grill', 'NN'), (u'downtown', 'VBN'), (u'vega', 'JJ'), (u'absolut', 'JJ'), (u'flat', 'JJ'), (u'line', 'NN'), (u'excus', 'NN'), (u'restaur', 'NN')]",0
56,"[(u'not', 'RB'), (u'much', 'RB'), (u'seafood', 'NN'), (u'like', 'IN'), (u'5', 'CD'), (u'string', 'VBG'), (u'pasta', 'NN'), (u'bottom', 'NN')]",0
57,"[(u'the', 'DT'), (u'salad', 'NN'), (u'right', 'JJ'), (u'amount', 'NN'), (u'sauc', 'JJ'), (u'power', 'NN'), (u'scallop', 'NN'), (u'perfectli', 'NN'), (u'cook', 'NN')]",1
58,"[(u'the', 'DT'), (u'rip', 'NN'), (u'banana', 'NN'), (u'rip', 'NN'), (u'petrifi', 'NN'), (u'tasteless', 'NN')]",0
59,"[(u'At', 'IN'), (u'least', 'JJS'), (u'think', 'VBP'), (u'refil', 'JJ'), (u'water', 'NN'), (u'I', 'PRP'), (u'struggl', 'VBP'), (u'wave', 'VBP'), (u'10', 'CD'), (u'minut', 'NN')]",0
60,"[(u'thi', 'JJ'), (u'place', 'NN'), (u'receiv', 'NN'), (u'star', 'NN'), (u'appet', 'NN')]",1
61,"[(u'the', 'DT'), (u'cocktail', 'NN'), (u'handmad', 'NN'), (u'delici', 'NN')]",1
62,"[(u'We', 'PRP'), (u'definit', 'VBP'), (u'go', 'VB'), (u'back', 'RB')]",1
63,"[(u'We', 'PRP'), (u'glad', 'VBP'), (u'found', 'JJ'), (u'place', 'NN')]",1
64,"[(u'great', 'JJ'), (u'food', 'NN'), (u'servic', 'NN'), (u'huge', 'JJ'), (u'portion', 'NN'), (u'give', 'VB'), (u'militari', 'NN'), (u'discount', 'NN')]",1
65,"[(u'alway', 'RB'), (u'great', 'JJ'), (u'time', 'NN'), (u'do', 'VB'), (u'gringo', 'NNS')]",1
66,"[(u'updat', 'JJ'), (u'went', 'VBD'), (u'back', 'RB'), (u'second', 'JJ'), (u'time', 'NN'), (u'still', 'RB'), (u'amaz', 'VB')]",1
67,"[(u'We', 'PRP'), (u'got', 'VBD'), (u'food', 'NN'), (u'appar', 'NN'), (u'never', 'RB'), (u'heard', 'VBD'), (u'salt', 'NN'), (u'batter', 'NN'), (u'fish', 'JJ'), (u'chewi', 'NN')]",0
68,"[(u'A', 'DT'), (u'great', 'JJ'), (u'way', 'NN'), (u'finish', 'JJ'), (u'great', 'JJ')]",1
69,"[(u'the', 'DT'), (u'deal', 'NN'), (u'includ', 'VBZ'), (u'5', 'CD'), (u'tast', 'NN'), (u'2', 'CD'), (u'drink', 'NN'), (u'jeff', 'NN'), (u'went', 'VBD'), (u'beyond', 'IN'), (u'expect', 'NN')]",1
70,"[(u'realli', 'NN'), (u'realli', 'NN'), (u'good', 'JJ'), (u'rice', 'NN'), (u'time', 'NN')]",1
71,"[(u'the', 'DT'), (u'servic', 'NN'), (u'meh', 'NN')]",0
72,"[(u'It', 'PRP'), (u'took', 'VBD'), (u'30', 'CD'), (u'min', 'NN'), (u'get', 'NN'), (u'milkshak', 'JJ'), (u'noth', 'DT'), (u'chocol', 'NN'), (u'milk', 'NN')]",0
73,"[(u'I', 'PRP'), (u'guess', 'VBP'), (u'I', 'PRP'), (u'known', 'JJ'), (u'place', 'NN'), (u'would', 'MD'), (u'suck', 'VB'), (u'insid', 'JJ'), (u'excalibur', 'NN'), (u'I', 'PRP'), (u'use', 'VBP'), (u'common', 'JJ'), (u'sens', 'NNS')]",0
74,"[(u'the', 'DT'), (u'scallop', 'JJ'), (u'dish', 'JJ'), (u'quit', 'NN'), (u'appal', 'JJ'), (u'valu', 'NN'), (u'well', 'RB')]",0
75,"[(u'2', 'CD'), (u'time', 'NN'), (u'veri', 'NN'), (u'bad', 'JJ'), (u'custom', 'NN'), (u'servic', 'NN')]",0
76,"[(u'the', 'DT'), (u'sweet', 'JJ'), (u'potato', 'NN'), (u'fri', 'NN'), (u'good', 'JJ'), (u'season', 'NN'), (u'well', 'RB')]",1
77,"[(u'today', 'NN'), (u'second', 'JJ'), (u'time', 'NN'), (u'I', 'PRP'), (u'lunch', 'VBP'), (u'buffet', 'JJ'), (u'pretti', 'NNS'), (u'good', 'JJ')]",1
78,"[(u'there', 'RB'), (u'much', 'RB'), (u'good', 'JJ'), (u'food', 'NN'), (u'vega', 'NN'), (u'I', 'PRP'), (u'feel', 'VBP'), (u'cheat', 'JJ'), (u'wast', 'JJ'), (u'eat', 'NN'), (u'opportun', 'NN'), (u'go', 'VB'), (u'rice', 'NN'), (u'compani', 'NN')]",0
79,"[(u'come', 'VBN'), (u'like', 'IN'), (u'experienc', 'JJ'), (u'underwhelm', 'JJ'), (u'relationship', 'NN'), (u'parti', 'NN'), (u'wait', 'VBP'), (u'person', 'NN'), (u'ask', 'JJ'), (u'break', 'NN')]",0
80,"[(u'walk', 'NN'), (u'place', 'NN'), (u'smell', 'VBP'), (u'like', 'IN'), (u'old', 'JJ'), (u'greas', 'NNS'), (u'trap', 'VBP'), (u'2', 'CD'), (u'other', 'JJ'), (u'eat', 'NN')]",0
81,"[(u'the', 'DT'), (u'turkey', 'NN'), (u'roast', 'NN'), (u'beef', 'NN'), (u'bland', 'NN')]",0
82,"[(u'thi', 'JJ'), (u'place', 'NN')]",1
83,"[(u'the', 'DT'), (u'pan', 'NN'), (u'cake', 'VBP'), (u'everyon', 'NNS'), (u'rave', 'VBP'), (u'tast', 'VBN'), (u'like', 'IN'), (u'sugari', 'NN'), (u'disast', 'NN'), (u'tailor', 'NN'), (u'palat', 'NN'), (u'six', 'CD'), (u'year', 'NN'), (u'old', 'JJ')]",0
84,"[(u'I', 'PRP'), (u'love', 'VBP'), (u'pho', 'JJ'), (u'spring', 'NN'), (u'roll', 'NN'), (u'oh', 'RB'), (u'yummi', 'CD'), (u'tri', 'NN')]",1
85,"[(u'the', 'DT'), (u'poor', 'JJ'), (u'batter', 'NN'), (u'meat', 'NN'), (u'ratio', 'NN'), (u'made', 'VBD'), (u'chicken', 'JJ'), (u'tender', 'NN'), (u'unsatisfi', 'NN')]",0
86,"[(u'all', 'DT'), (u'I', 'PRP'), (u'say', 'VBP'), (u'food', 'NN'), (u'amaz', 'NN')]",1
87,"[(u'omelet', 'NN'), (u'die', 'NN')]",1
88,"[(u'everyth', 'NN'), (u'fresh', 'JJ'), (u'delici', 'NN')]",1
89,"[(u'In', 'IN'), (u'summari', 'JJ'), (u'larg', 'JJ'), (u'disappoint', 'NN'), (u'dine', 'NN'), (u'experi', 'NN')]",0
90,"[(u'It', 'PRP'), (u'like', 'IN'), (u'realli', 'NN'), (u'sexi', 'NN'), (u'parti', 'NN'), (u'mouth', 'NN'), (u'outrag', 'VBP'), (u'flirt', 'NN'), (u'hottest', 'JJS'), (u'person', 'NN'), (u'parti', 'NN')]",1
91,"[(u'never', 'RB'), (u'hard', 'JJ'), (u'rock', 'NN'), (u'casino', 'NN'), (u'will', 'MD'), (u'never', 'RB'), (u'ever', 'RB'), (u'step', 'VB'), (u'forward', 'RB'), (u'IN', 'NNP'), (u'IT', 'NNP'), (u'again', 'RB')]",0
92,"[(u'best', 'JJS'), (u'breakfast', 'NN'), (u'buffet', 'NN')]",1
93,"[(u'say', 'VB'), (u'bye', 'NN'), (u'bye', 'JJ'), (u'tip', 'NN'), (u'ladi', 'NN')]",0
94,"[(u'We', 'PRP'), (u'never', 'RB'), (u'go', 'VBP')]",0
95,"[(u'will', 'MD'), (u'back', 'VB')]",1
96,"[(u'food', 'NN'), (u'arriv', 'NN'), (u'quickli', 'NN')]",1
97,"[(u'It', 'PRP'), (u'good', 'JJ')]",0
98,"[(u'On', 'IN'), (u'side', 'NN'), (u'cafe', 'JJ'), (u'serv', 'NN'), (u'realli', 'NN'), (u'good', 'JJ'), (u'food', 'NN')]",1
99,"[(u'our', 'PRP$'), (u'server', 'NN'), (u'fantast', 'NN'), (u'found', 'VBD'), (u'wife', 'NN'), (u'love', 'NN'), (u'roast', 'NN'), (u'garlic', 'JJ'), (u'bone', 'NN'), (u'marrow', 'NN'), (u'ad', 'NN'), (u'extra', 'JJ'), (u'meal', 'NN'), (u'anoth', 'DT'), (u'marrow', 'NN'), (u'go', 'VBP')]",1
100,"[(u'the', 'DT'), (u'good', 'JJ'), (u'thing', 'NN'), (u'waiter', 'NN'), (u'help', 'NN'), (u'kept', 'VBD'), (u'bloddi', 'JJ'), (u'mari', 'NN'), (u'come', 'NN')]",1
101,"[(u'best', 'JJS'), (u'buffet', 'NN'), (u'town', 'NN'), (u'price', 'NN'), (u'cannot', 'NN'), (u'beat', 'NN')]",1
102,"[(u'I', 'PRP'), (u'love', 'VBP'), (u'mussel', 'JJ'), (u'cook', 'NN'), (u'wine', 'NN'), (u'reduct', 'NN'), (u'duck', 'NN'), (u'tender', 'NN'), (u'potato', 'NN'), (u'dish', 'NN'), (u'delici', 'NN')]",1
103,"[(u'thi', 'NN'), (u'one', 'CD'), (u'better', 'JJR'), (u'buffet', 'NN'), (u'I', 'PRP')]",1
104,"[(u'So', 'RB'), (u'went', 'VBD'), (u'tigerlilli', 'JJ'), (u'fantast', 'NN'), (u'afternoon', 'NN')]",1
105,"[(u'the', 'DT'), (u'food', 'NN'), (u'delici', 'NN'), (u'bartend', 'VBP'), (u'attent', 'JJ'), (u'person', 'NN'), (u'and', 'CC'), (u'got', 'VBD'), (u'great', 'JJ'), (u'deal', 'NN')]",1
106,"[(u'the', 'DT'), (u'ambienc', 'JJ'), (u'wonder', 'NN'), (u'music', 'NN'), (u'play', 'NN')]",1
107,"[(u'will', 'MD'), (u'go', 'VB'), (u'back', 'RB'), (u'next', 'JJ'), (u'trip', 'NN')]",1
108,"[(u'sooooo', 'RB'), (u'good', 'JJ')]",1
109,"[(u'real', 'JJ'), (u'sushi', 'NN'), (u'lover', 'NN'), (u'let', 'VB'), (u'honest', 'JJS'), (u'yama', 'VB'), (u'good', 'JJ')]",0
110,"[(u'At', 'IN'), (u'least', 'JJS'), (u'40min', 'CD'), (u'pass', 'NN'), (u'us', 'PRP'), (u'order', 'NN'), (u'food', 'NN'), (u'arriv', 'NN'), (u'busi', 'NN')]",0
111,"[(u'thi', 'NN'), (u'realli', 'NN'), (u'fantast', 'NN'), (u'thai', 'NN'), (u'restaur', 'NN'), (u'definit', 'NN'), (u'worth', 'JJ'), (u'visit', 'NN')]",1
112,"[(u'nice', 'JJ'), (u'spici', 'NN'), (u'tender', 'NN')]",1
113,"[(u'good', 'JJ'), (u'price', 'NN')]",1
114,"[(u'check', 'NN')]",1
115,"[(u'It', 'PRP'), (u'pretti', 'VBZ'), (u'gross', 'JJ')]",0
116,"[(u'I', 'PRP'), (u'better', 'VBP'), (u'atmospher', 'RB')]",0
117,"[(u'kind', 'NN'), (u'hard', 'JJ'), (u'mess', 'NN'), (u'steak', 'NN')]",0
118,"[(u'although', 'IN'), (u'I', 'PRP'), (u'much', 'VBP'), (u'like', 'IN'), (u'look', 'NN'), (u'sound', 'JJ'), (u'place', 'NN'), (u'actual', 'JJ'), (u'experi', 'NN'), (u'bit', 'NN'), (u'disappoint', 'NN')]",0
119,"[(u'I', 'PRP'), (u'know', 'VBP'), (u'place', 'NN'), (u'manag', 'NN'), (u'serv', 'NN'), (u'blandest', 'JJS'), (u'food', 'NN'), (u'I', 'PRP'), (u'ever', 'RB'), (u'eaten', 'VBP'), (u'prepar', 'JJ'), (u'indian', 'JJ'), (u'cuisin', 'NN')]",0
120,"[(u'worst', 'JJS'), (u'servic', 'JJ'), (u'boot', 'NN'), (u'least', 'JJS'), (u'worri', 'NN')]",0
121,"[(u'servic', 'JJ'), (u'fine', 'JJ'), (u'waitress', 'NN'), (u'friendli', 'NN')]",1
122,"[(u'the', 'DT'), (u'guy', 'NN'), (u'steak', 'NN'), (u'steak', 'NN'), (u'love', 'IN'), (u'son', 'NN'), (u'steak', 'NN'), (u'best', 'JJS'), (u'worst', 'JJ'), (u'place', 'NN'), (u'said', 'VBD'), (u'best', 'JJS'), (u'steak', 'NN'), (u'ever', 'RB'), (u'eaten', 'VB')]",1
123,"[(u'We', 'PRP'), (u'thought', 'VBD'), (u'ventur', 'RP'), (u'away', 'RB'), (u'get', 'VB'), (u'good', 'JJ'), (u'sushi', 'NN'), (u'place', 'NN'), (u'realli', 'NN'), (u'hit', 'VBD'), (u'spot', 'NN'), (u'night', 'NN')]",1
124,"[(u'host', 'NN'), (u'staff', 'NN'), (u'lack', 'NN'), (u'better', 'RBR'), (u'word', 'NN'), (u'bitch', 'NN')]",0
125,"[(u'bland', 'NN'), (u'not', 'RB'), (u'like', 'IN'), (u'place', 'NN'), (u'number', 'NN'), (u'reason', 'NN'), (u'I', 'PRP'), (u'want', 'VBP'), (u'wast', 'JJ'), (u'time', 'NN'), (u'bad', 'JJ'), (u'review', 'NN'), (u'I', 'PRP'), (u'leav', 'VBP')]",0
126,"[(u'phenomen', 'NNS'), (u'food', 'NN'), (u'servic', 'NN'), (u'ambianc', 'NN')]",1
127,"[(u'I', 'PRP'), (u'return', 'VBP')]",0
128,"[(u'definit', 'NN'), (u'worth', 'JJ'), (u'ventur', 'NN'), (u'strip', 'NN'), (u'pork', 'NN'), (u'belli', 'JJ'), (u'return', 'NN'), (u'next', 'JJ'), (u'time', 'NN'), (u'I', 'PRP'), (u'vega', 'VBP')]",1
129,"[(u'thi', 'JJ'), (u'place', 'NN'), (u'way', 'NN'), (u'overpr', 'IN'), (u'mediocr', 'NN'), (u'food', 'NN')]",0
130,"[(u'penn', 'NN'), (u'vodka', 'NN'), (u'excel', 'NN')]",1
131,"[(u'they', 'PRP'), (u'good', 'VBP'), (u'select', 'JJ'), (u'food', 'NN'), (u'includ', 'NN'), (u'massiv', 'NN'), (u'meatloaf', 'NN'), (u'sandwich', 'NN'), (u'crispi', 'NN'), (u'chicken', 'NN'), (u'wrap', 'NN'), (u'delish', 'JJ'), (u'tuna', 'NN'), (u'melt', 'NN'), (u'tasti', 'NN'), (u'burger', 'NN')]",1
132,"[(u'the', 'DT'), (u'manag', 'NN'), (u'rude', 'NN')]",0
133,"[(u'delici', 'NN'), (u'nyc', 'JJ'), (u'bagel', 'RB'), (u'good', 'JJ'), (u'select', 'NN'), (u'cream', 'NN'), (u'chees', 'NNS'), (u'real', 'JJ'), (u'lox', 'JJ'), (u'caper', 'NN'), (u'even', 'RB')]",1
134,"[(u'great', 'JJ'), (u'subway', 'JJ'), (u'fact', 'NN'), (u'good', 'JJ'), (u'come', 'NN'), (u'everi', 'VBP'), (u'subway', 'RB'), (u'meet', 'JJ'), (u'expect', 'VBP')]",1
135,"[(u'I', 'PRP'), (u'serious', 'JJ'), (u'solid', 'JJ'), (u'breakfast', 'NN')]",1
136,"[(u'thi', 'VB'), (u'one', 'CD'), (u'best', 'JJS'), (u'bar', 'NN'), (u'food', 'NN'), (u'vega', 'NN')]",1
137,"[(u'He', 'PRP'), (u'extrem', 'VBZ'), (u'rude', 'JJ'), (u'realli', 'NNS'), (u'mani', 'VBP'), (u'restaur', 'NN'), (u'I', 'PRP'), (u'would', 'MD'), (u'love', 'VB'), (u'dine', 'NN'), (u'weekend', 'NN'), (u'vega', 'NN')]",0
138,"[(u'My', 'PRP$'), (u'drink', 'NN'), (u'never', 'RB'), (u'empti', 'RB'), (u'made', 'VBD'), (u'realli', 'JJ'), (u'great', 'JJ'), (u'menu', 'NN'), (u'suggest', 'NN')]",1
139,"[(u'don', 'NN')]",0
140,"[(u'the', 'DT'), (u'waiter', 'NN'), (u'help', 'NN'), (u'friendli', 'VB'), (u'rare', 'JJ'), (u'check', 'VB'), (u'us', 'PRP')]",0
141,"[(u'My', 'PRP$'), (u'husband', 'NN'), (u'I', 'PRP'), (u'ate', 'VBP'), (u'lunch', 'JJ'), (u'disappoint', 'NN'), (u'food', 'NN'), (u'servic', 'NN')]",0
142,"[(u'and', 'CC'), (u'red', 'JJ'), (u'curri', 'NN'), (u'much', 'JJ'), (u'bamboo', 'NN'), (u'shoot', 'NN'), (u'tasti', 'NN')]",0
143,"[(u'nice', 'JJ'), (u'blanket', 'NN'), (u'moz', 'NN'), (u'top', 'JJ'), (u'feel', 'NN'), (u'like', 'IN'), (u'done', 'VBN'), (u'cover', 'NN'), (u'subpar', 'NN'), (u'food', 'NN')]",1
144,"[(u'the', 'DT'), (u'bathroom', 'NN'), (u'clean', 'JJ'), (u'place', 'NN'), (u'well', 'RB'), (u'decor', 'VB')]",1
145,"[(u'the', 'DT'), (u'menu', 'NN'), (u'alway', 'RB'), (u'chang', 'VBD'), (u'food', 'NN'), (u'qualiti', 'NN'), (u'go', 'VBP'), (u'servic', 'JJ'), (u'extrem', 'RB'), (u'slow', 'JJ')]",0
146,"[(u'the', 'DT'), (u'servic', 'JJ'), (u'littl', 'NN'), (u'slow', 'JJ'), (u'consid', 'NN'), (u'serv', 'VBD'), (u'3', 'CD'), (u'peopl', 'NN'), (u'server', 'NN'), (u'food', 'NN'), (u'come', 'VB'), (u'slow', 'JJ'), (u'pace', 'NN')]",0
147,"[(u'I', 'PRP'), (u'give', 'VBP'), (u'2', 'CD'), (u'thumb', 'NN')]",0
148,"[(u'We', 'PRP'), (u'watch', 'VBP'), (u'waiter', 'JJ'), (u'pay', 'NN'), (u'lot', 'NN'), (u'attent', 'JJ'), (u'tabl', 'NN'), (u'ignor', 'NN'), (u'us', 'PRP')]",0
149,"[(u'My', 'PRP$'), (u'fianc', 'NN'), (u'I', 'PRP'), (u'came', 'VBD'), (u'middl', 'RB'), (u'day', 'NN'), (u'greet', 'JJ'), (u'seat', 'NN'), (u'right', 'RB'), (u'away', 'RB')]",1
150,"[(u'thi', 'RB'), (u'great', 'JJ'), (u'restaur', 'JJ'), (u'mandalay', 'NN'), (u'bay', 'NN')]",1
151,"[(u'We', 'PRP'), (u'wait', 'VBP'), (u'forti', 'JJ'), (u'five', 'CD'), (u'minut', 'NN'), (u'vain', 'NN')]",0
152,"[(u'crostini', 'NN'), (u'came', 'VBD'), (u'salad', 'JJ'), (u'stale', 'NN')]",0
153,"[(u'some', 'DT'), (u'highlight', 'NN'), (u'great', 'JJ'), (u'qualiti', 'NN'), (u'nigiri', 'NN')]",1
154,"[(u'staff', 'NN'), (u'friendli', 'VBZ'), (u'joint', 'JJ'), (u'alway', 'RB'), (u'clean', 'JJ')]",1
155,"[(u'differ', 'NN'), (u'cut', 'NN'), (u'piec', 'NN'), (u'day', 'NN'), (u'still', 'RB'), (u'wonder', 'VB'), (u'tender', 'NN'), (u'well', 'RB'), (u'well', 'RB'), (u'flavor', 'NN')]",1
