,tokens,Sentiment,No Stops,Unicode,Stemmed
55,"[u'The', u'Heart', u'Attack', u'Grill', u'in', u'downtown', u'Vegas', u'is', u'an', u'absolutely', u'flat', u'lined', u'excuse', u'for', u'a', u'restaurant']",0,"[u'The', u'Heart', u'Attack', u'Grill', u'downtown', u'Vegas', u'absolutely', u'flat', u'lined', u'excuse', u'restaurant']","[u'The', u'Heart', u'Attack', u'Grill', u'downtown', u'Vegas', u'absolutely', u'flat', u'lined', u'excuse', u'restaurant']","[u'the', u'heart', u'attack', u'grill', u'downtown', u'vega', u'absolut', u'flat', u'line', u'excus', u'restaur']"
56,"[u'Not', u'much', u'seafood', u'and', u'like', u'5', u'strings', u'of', u'pasta', u'at', u'the', u'bottom']",0,"[u'Not', u'much', u'seafood', u'like', u'5', u'strings', u'pasta', u'bottom']","[u'Not', u'much', u'seafood', u'like', u'5', u'strings', u'pasta', u'bottom']","[u'not', u'much', u'seafood', u'like', u'5', u'string', u'pasta', u'bottom']"
57,"[u'The', u'salad', u'had', u'just', u'the', u'right', u'amount', u'of', u'sauce', u'to', u'not', u'over', u'power', u'the', u'scallop', u'which', u'was', u'perfectly', u'cooked']",1,"[u'The', u'salad', u'right', u'amount', u'sauce', u'power', u'scallop', u'perfectly', u'cooked']","[u'The', u'salad', u'right', u'amount', u'sauce', u'power', u'scallop', u'perfectly', u'cooked']","[u'the', u'salad', u'right', u'amount', u'sauc', u'power', u'scallop', u'perfectli', u'cook']"
58,"[u'The', u'ripped', u'banana', u'was', u'not', u'only', u'ripped', u'but', u'petrified', u'and', u'tasteless']",0,"[u'The', u'ripped', u'banana', u'ripped', u'petrified', u'tasteless']","[u'The', u'ripped', u'banana', u'ripped', u'petrified', u'tasteless']","[u'the', u'rip', u'banana', u'rip', u'petrifi', u'tasteless']"
59,"[u'At', u'least', u'think', u'to', u'refill', u'my', u'water', u'before', u'I', u'struggle', u'to', u'wave', u'you', u'over', u'for', u'10', u'minutes']",0,"[u'At', u'least', u'think', u'refill', u'water', u'I', u'struggle', u'wave', u'10', u'minutes']","[u'At', u'least', u'think', u'refill', u'water', u'I', u'struggle', u'wave', u'10', u'minutes']","[u'At', u'least', u'think', u'refil', u'water', u'I', u'struggl', u'wave', u'10', u'minut']"
60,"[u'This', u'place', u'receives', u'stars', u'for', u'their', u'APPETIZERS']",1,"[u'This', u'place', u'receives', u'stars', u'APPETIZERS']","[u'This', u'place', u'receives', u'stars', u'APPETIZERS']","[u'thi', u'place', u'receiv', u'star', u'appet']"
61,"[u'The', u'cocktails', u'are', u'all', u'handmade', u'and', u'delicious']",1,"[u'The', u'cocktails', u'handmade', u'delicious']","[u'The', u'cocktails', u'handmade', u'delicious']","[u'the', u'cocktail', u'handmad', u'delici']"
62,"[u'We', u'd', u'definitely', u'go', u'back', u'here', u'again']",1,"[u'We', u'definitely', u'go', u'back']","[u'We', u'definitely', u'go', u'back']","[u'We', u'definit', u'go', u'back']"
63,"[u'We', u'are', u'so', u'glad', u'we', u'found', u'this', u'place']",1,"[u'We', u'glad', u'found', u'place']","[u'We', u'glad', u'found', u'place']","[u'We', u'glad', u'found', u'place']"
64,"[u'Great', u'food', u'and', u'service', u'huge', u'portions', u'and', u'they', u'give', u'a', u'military', u'discount']",1,"[u'Great', u'food', u'service', u'huge', u'portions', u'give', u'military', u'discount']","[u'Great', u'food', u'service', u'huge', u'portions', u'give', u'military', u'discount']","[u'great', u'food', u'servic', u'huge', u'portion', u'give', u'militari', u'discount']"
65,"[u'Always', u'a', u'great', u'time', u'at', u'Dos', u'Gringos']",1,"[u'Always', u'great', u'time', u'Dos', u'Gringos']","[u'Always', u'great', u'time', u'Dos', u'Gringos']","[u'alway', u'great', u'time', u'do', u'gringo']"
66,"[u'Update', u'went', u'back', u'for', u'a', u'second', u'time', u'and', u'it', u'was', u'still', u'just', u'as', u'amazing']",1,"[u'Update', u'went', u'back', u'second', u'time', u'still', u'amazing']","[u'Update', u'went', u'back', u'second', u'time', u'still', u'amazing']","[u'updat', u'went', u'back', u'second', u'time', u'still', u'amaz']"
67,"[u'We', u'got', u'the', u'food', u'and', u'apparently', u'they', u'have', u'never', u'heard', u'of', u'salt', u'and', u'the', u'batter', u'on', u'the', u'fish', u'was', u'chewy']",0,"[u'We', u'got', u'food', u'apparently', u'never', u'heard', u'salt', u'batter', u'fish', u'chewy']","[u'We', u'got', u'food', u'apparently', u'never', u'heard', u'salt', u'batter', u'fish', u'chewy']","[u'We', u'got', u'food', u'appar', u'never', u'heard', u'salt', u'batter', u'fish', u'chewi']"
68,"[u'A', u'great', u'way', u'to', u'finish', u'a', u'great']",1,"[u'A', u'great', u'way', u'finish', u'great']","[u'A', u'great', u'way', u'finish', u'great']","[u'A', u'great', u'way', u'finish', u'great']"
69,"[u'The', u'deal', u'included', u'5', u'tastings', u'and', u'2', u'drinks', u'and', u'Jeff', u'went', u'above', u'and', u'beyond', u'what', u'we', u'expected']",1,"[u'The', u'deal', u'included', u'5', u'tastings', u'2', u'drinks', u'Jeff', u'went', u'beyond', u'expected']","[u'The', u'deal', u'included', u'5', u'tastings', u'2', u'drinks', u'Jeff', u'went', u'beyond', u'expected']","[u'the', u'deal', u'includ', u'5', u'tast', u'2', u'drink', u'jeff', u'went', u'beyond', u'expect']"
70,"[u'Really', u'really', u'good', u'rice', u'all', u'the', u'time']",1,"[u'Really', u'really', u'good', u'rice', u'time']","[u'Really', u'really', u'good', u'rice', u'time']","[u'realli', u'realli', u'good', u'rice', u'time']"
71,"[u'The', u'service', u'was', u'meh']",0,"[u'The', u'service', u'meh']","[u'The', u'service', u'meh']","[u'the', u'servic', u'meh']"
72,"[u'It', u'took', u'over', u'30', u'min', u'to', u'get', u'their', u'milkshake', u'which', u'was', u'nothing', u'more', u'than', u'chocolate', u'milk']",0,"[u'It', u'took', u'30', u'min', u'get', u'milkshake', u'nothing', u'chocolate', u'milk']","[u'It', u'took', u'30', u'min', u'get', u'milkshake', u'nothing', u'chocolate', u'milk']","[u'It', u'took', u'30', u'min', u'get', u'milkshak', u'noth', u'chocol', u'milk']"
73,"[u'I', u'guess', u'I', u'should', u'have', u'known', u'that', u'this', u'place', u'would', u'suck', u'because', u'it', u'is', u'inside', u'of', u'the', u'Excalibur', u'but', u'I', u'didn', u't', u'use', u'my', u'common', u'sense']",0,"[u'I', u'guess', u'I', u'known', u'place', u'would', u'suck', u'inside', u'Excalibur', u'I', u'use', u'common', u'sense']","[u'I', u'guess', u'I', u'known', u'place', u'would', u'suck', u'inside', u'Excalibur', u'I', u'use', u'common', u'sense']","[u'I', u'guess', u'I', u'known', u'place', u'would', u'suck', u'insid', u'excalibur', u'I', u'use', u'common', u'sens']"
74,"[u'The', u'scallop', u'dish', u'is', u'quite', u'appalling', u'for', u'value', u'as', u'well']",0,"[u'The', u'scallop', u'dish', u'quite', u'appalling', u'value', u'well']","[u'The', u'scallop', u'dish', u'quite', u'appalling', u'value', u'well']","[u'the', u'scallop', u'dish', u'quit', u'appal', u'valu', u'well']"
75,"[u'2', u'times', u'Very', u'Bad', u'Customer', u'Service']",0,"[u'2', u'times', u'Very', u'Bad', u'Customer', u'Service']","[u'2', u'times', u'Very', u'Bad', u'Customer', u'Service']","[u'2', u'time', u'veri', u'bad', u'custom', u'servic']"
76,"[u'The', u'sweet', u'potato', u'fries', u'were', u'very', u'good', u'and', u'seasoned', u'well']",1,"[u'The', u'sweet', u'potato', u'fries', u'good', u'seasoned', u'well']","[u'The', u'sweet', u'potato', u'fries', u'good', u'seasoned', u'well']","[u'the', u'sweet', u'potato', u'fri', u'good', u'season', u'well']"
77,"[u'Today', u'is', u'the', u'second', u'time', u'I', u've', u'been', u'to', u'their', u'lunch', u'buffet', u'and', u'it', u'was', u'pretty', u'good']",1,"[u'Today', u'second', u'time', u'I', u'lunch', u'buffet', u'pretty', u'good']","[u'Today', u'second', u'time', u'I', u'lunch', u'buffet', u'pretty', u'good']","[u'today', u'second', u'time', u'I', u'lunch', u'buffet', u'pretti', u'good']"
78,"[u'There', u'is', u'so', u'much', u'good', u'food', u'in', u'Vegas', u'that', u'I', u'feel', u'cheated', u'for', u'wasting', u'an', u'eating', u'opportunity', u'by', u'going', u'to', u'Rice', u'and', u'Company']",0,"[u'There', u'much', u'good', u'food', u'Vegas', u'I', u'feel', u'cheated', u'wasting', u'eating', u'opportunity', u'going', u'Rice', u'Company']","[u'There', u'much', u'good', u'food', u'Vegas', u'I', u'feel', u'cheated', u'wasting', u'eating', u'opportunity', u'going', u'Rice', u'Company']","[u'there', u'much', u'good', u'food', u'vega', u'I', u'feel', u'cheat', u'wast', u'eat', u'opportun', u'go', u'rice', u'compani']"
79,"[u'Coming', u'here', u'is', u'like', u'experiencing', u'an', u'underwhelming', u'relationship', u'where', u'both', u'parties', u'can', u't', u'wait', u'for', u'the', u'other', u'person', u'to', u'ask', u'to', u'break', u'up']",0,"[u'Coming', u'like', u'experiencing', u'underwhelming', u'relationship', u'parties', u'wait', u'person', u'ask', u'break']","[u'Coming', u'like', u'experiencing', u'underwhelming', u'relationship', u'parties', u'wait', u'person', u'ask', u'break']","[u'come', u'like', u'experienc', u'underwhelm', u'relationship', u'parti', u'wait', u'person', u'ask', u'break']"
80,"[u'walked', u'in', u'and', u'the', u'place', u'smelled', u'like', u'an', u'old', u'grease', u'trap', u'and', u'only', u'2', u'others', u'there', u'eating']",0,"[u'walked', u'place', u'smelled', u'like', u'old', u'grease', u'trap', u'2', u'others', u'eating']","[u'walked', u'place', u'smelled', u'like', u'old', u'grease', u'trap', u'2', u'others', u'eating']","[u'walk', u'place', u'smell', u'like', u'old', u'greas', u'trap', u'2', u'other', u'eat']"
81,"[u'The', u'turkey', u'and', u'roast', u'beef', u'were', u'bland']",0,"[u'The', u'turkey', u'roast', u'beef', u'bland']","[u'The', u'turkey', u'roast', u'beef', u'bland']","[u'the', u'turkey', u'roast', u'beef', u'bland']"
82,"[u'This', u'place', u'has', u'it']",1,"[u'This', u'place']","[u'This', u'place']","[u'thi', u'place']"
83,"[u'The', u'pan', u'cakes', u'everyone', u'are', u'raving', u'about', u'taste', u'like', u'a', u'sugary', u'disaster', u'tailored', u'to', u'the', u'palate', u'of', u'a', u'six', u'year', u'old']",0,"[u'The', u'pan', u'cakes', u'everyone', u'raving', u'taste', u'like', u'sugary', u'disaster', u'tailored', u'palate', u'six', u'year', u'old']","[u'The', u'pan', u'cakes', u'everyone', u'raving', u'taste', u'like', u'sugary', u'disaster', u'tailored', u'palate', u'six', u'year', u'old']","[u'the', u'pan', u'cake', u'everyon', u'rave', u'tast', u'like', u'sugari', u'disast', u'tailor', u'palat', u'six', u'year', u'old']"
