,tokens,Sentiment,No Stops
22,"[u'I', u'could', u'care', u'less', u'The', u'interior', u'is', u'just', u'beautiful']",1,"[u'I', u'could', u'care', u'less', u'The', u'interior', u'beautiful']"
23,"[u'So', u'they', u'performed']",1,"[u'So', u'performed']"
24,"[u'That', u's', u'right', u'the', u'red', u'velvet', u'cake', u'ohhh', u'this', u'stuff', u'is', u'so', u'good']",1,"[u'That', u'right', u'red', u'velvet', u'cake', u'ohhh', u'stuff', u'good']"
25,"[u'They', u'never', u'brought', u'a', u'salad', u'we', u'asked', u'for']",0,"[u'They', u'never', u'brought', u'salad', u'asked']"
26,"[u'This', u'hole', u'in', u'the', u'wall', u'has', u'great', u'Mexican', u'street', u'tacos', u'and', u'friendly', u'staff']",1,"[u'This', u'hole', u'wall', u'great', u'Mexican', u'street', u'tacos', u'friendly', u'staff']"
27,"[u'Took', u'an', u'hour', u'to', u'get', u'our', u'food', u'only', u'4', u'tables', u'in', u'restaurant', u'my', u'food', u'was', u'Luke', u'warm', u'Our', u'sever', u'was', u'running', u'around', u'like', u'he', u'was', u'totally', u'overwhelmed']",0,"[u'Took', u'hour', u'get', u'food', u'4', u'tables', u'restaurant', u'food', u'Luke', u'warm', u'Our', u'sever', u'running', u'around', u'like', u'totally', u'overwhelmed']"
28,"[u'The', u'worst', u'was', u'the', u'salmon', u'sashimi']",0,"[u'The', u'worst', u'salmon', u'sashimi']"
29,"[u'Also', u'there', u'are', u'combos', u'like', u'a', u'burger', u'fries', u'and', u'beer', u'for', u'23', u'which', u'is', u'a', u'decent', u'deal']",1,"[u'Also', u'combos', u'like', u'burger', u'fries', u'beer', u'23', u'decent', u'deal']"
30,"[u'This', u'was', u'like', u'the', u'final', u'blow']",0,"[u'This', u'like', u'final', u'blow']"
31,"[u'I', u'found', u'this', u'place', u'by', u'accident', u'and', u'I', u'could', u'not', u'be', u'happier']",1,"[u'I', u'found', u'place', u'accident', u'I', u'could', u'happier']"
32,"[u'seems', u'like', u'a', u'good', u'quick', u'place', u'to', u'grab', u'a', u'bite', u'of', u'some', u'familiar', u'pub', u'food', u'but', u'do', u'yourself', u'a', u'favor', u'and', u'look', u'elsewhere']",0,"[u'seems', u'like', u'good', u'quick', u'place', u'grab', u'bite', u'familiar', u'pub', u'food', u'favor', u'look', u'elsewhere']"
33,"[u'Overall', u'I', u'like', u'this', u'place', u'a', u'lot']",1,"[u'Overall', u'I', u'like', u'place', u'lot']"
34,"[u'The', u'only', u'redeeming', u'quality', u'of', u'the', u'restaurant', u'was', u'that', u'it', u'was', u'very', u'inexpensive']",1,"[u'The', u'redeeming', u'quality', u'restaurant', u'inexpensive']"
35,"[u'Ample', u'portions', u'and', u'good', u'prices']",1,"[u'Ample', u'portions', u'good', u'prices']"
36,"[u'Poor', u'service', u'the', u'waiter', u'made', u'me', u'feel', u'like', u'I', u'was', u'stupid', u'every', u'time', u'he', u'came', u'to', u'the', u'table']",0,"[u'Poor', u'service', u'waiter', u'made', u'feel', u'like', u'I', u'stupid', u'every', u'time', u'came', u'table']"
37,"[u'My', u'first', u'visit', u'to', u'Hiro', u'was', u'a', u'delight']",1,"[u'My', u'first', u'visit', u'Hiro', u'delight']"
38,"[u'Service', u'sucks']",0,"[u'Service', u'sucks']"
39,"[u'The', u'shrimp', u'tender', u'and', u'moist']",1,"[u'The', u'shrimp', u'tender', u'moist']"
40,"[u'There', u'is', u'not', u'a', u'deal', u'good', u'enough', u'that', u'would', u'drag', u'me', u'into', u'that', u'establishment', u'again']",0,"[u'There', u'deal', u'good', u'enough', u'would', u'drag', u'establishment']"
41,"[u'Hard', u'to', u'judge', u'whether', u'these', u'sides', u'were', u'good', u'because', u'we', u'were', u'grossed', u'out', u'by', u'the', u'melted', u'styrofoam', u'and', u'didn', u't', u'want', u'to', u'eat', u'it', u'for', u'fear', u'of', u'getting', u'sick']",0,"[u'Hard', u'judge', u'whether', u'sides', u'good', u'grossed', u'melted', u'styrofoam', u'want', u'eat', u'fear', u'getting', u'sick']"
42,"[u'On', u'a', u'positive', u'note', u'our', u'server', u'was', u'very', u'attentive', u'and', u'provided', u'great', u'service']",1,"[u'On', u'positive', u'note', u'server', u'attentive', u'provided', u'great', u'service']"
43,"[u'Frozen', u'pucks', u'of', u'disgust', u'with', u'some', u'of', u'the', u'worst', u'people', u'behind', u'the', u'register']",0,"[u'Frozen', u'pucks', u'disgust', u'worst', u'people', u'behind', u'register']"
44,"[u'The', u'only', u'thing', u'I', u'did', u'like', u'was', u'the', u'prime', u'rib', u'and', u'dessert', u'section']",1,"[u'The', u'thing', u'I', u'like', u'prime', u'rib', u'dessert', u'section']"
45,"[u'It', u's', u'too', u'bad', u'the', u'food', u'is', u'so', u'damn', u'generic']",0,"[u'It', u'bad', u'food', u'damn', u'generic']"
46,"[u'The', u'burger', u'is', u'good', u'beef', u'cooked', u'just', u'right']",1,"[u'The', u'burger', u'good', u'beef', u'cooked', u'right']"
47,"[u'If', u'you', u'want', u'a', u'sandwich', u'just', u'go', u'to', u'any', u'Firehouse']",1,"[u'If', u'want', u'sandwich', u'go', u'Firehouse']"
48,"[u'My', u'side', u'Greek', u'salad', u'with', u'the', u'Greek', u'dressing', u'was', u'so', u'tasty', u'and', u'the', u'pita', u'and', u'hummus', u'was', u'very', u'refreshing']",1,"[u'My', u'side', u'Greek', u'salad', u'Greek', u'dressing', u'tasty', u'pita', u'hummus', u'refreshing']"
49,"[u'We', u'ordered', u'the', u'duck', u'rare', u'and', u'it', u'was', u'pink', u'and', u'tender', u'on', u'the', u'inside', u'with', u'a', u'nice', u'char', u'on', u'the', u'outside']",1,"[u'We', u'ordered', u'duck', u'rare', u'pink', u'tender', u'inside', u'nice', u'char', u'outside']"
50,"[u'He', u'came', u'running', u'after', u'us', u'when', u'he', u'realized', u'my', u'husband', u'had', u'left', u'his', u'sunglasses', u'on', u'the', u'table']",1,"[u'He', u'came', u'running', u'us', u'realized', u'husband', u'left', u'sunglasses', u'table']"
51,"[u'Their', u'chow', u'mein', u'is', u'so', u'good']",1,"[u'Their', u'chow', u'mein', u'good']"
52,"[u'They', u'have', u'horrible', u'attitudes', u'towards', u'customers', u'and', u'talk', u'down', u'to', u'each', u'one', u'when', u'customers', u'don', u't', u'enjoy', u'their', u'food']",0,"[u'They', u'horrible', u'attitudes', u'towards', u'customers', u'talk', u'one', u'customers', u'enjoy', u'food']"
53,"[u'The', u'portion', u'was', u'huge']",1,"[u'The', u'portion', u'huge']"
54,"[u'Loved', u'it', u'friendly', u'servers', u'great', u'food', u'wonderful', u'and', u'imaginative', u'menu']",1,"[u'Loved', u'friendly', u'servers', u'great', u'food', u'wonderful', u'imaginative', u'menu']"
55,"[u'The', u'Heart', u'Attack', u'Grill', u'in', u'downtown', u'Vegas', u'is', u'an', u'absolutely', u'flat', u'lined', u'excuse', u'for', u'a', u'restaurant']",0,"[u'The', u'Heart', u'Attack', u'Grill', u'downtown', u'Vegas', u'absolutely', u'flat', u'lined', u'excuse', u'restaurant']"
56,"[u'Not', u'much', u'seafood', u'and', u'like', u'5', u'strings', u'of', u'pasta', u'at', u'the', u'bottom']",0,"[u'Not', u'much', u'seafood', u'like', u'5', u'strings', u'pasta', u'bottom']"
57,"[u'The', u'salad', u'had', u'just', u'the', u'right', u'amount', u'of', u'sauce', u'to', u'not', u'over', u'power', u'the', u'scallop', u'which', u'was', u'perfectly', u'cooked']",1,"[u'The', u'salad', u'right', u'amount', u'sauce', u'power', u'scallop', u'perfectly', u'cooked']"
58,"[u'The', u'ripped', u'banana', u'was', u'not', u'only', u'ripped', u'but', u'petrified', u'and', u'tasteless']",0,"[u'The', u'ripped', u'banana', u'ripped', u'petrified', u'tasteless']"
59,"[u'At', u'least', u'think', u'to', u'refill', u'my', u'water', u'before', u'I', u'struggle', u'to', u'wave', u'you', u'over', u'for', u'10', u'minutes']",0,"[u'At', u'least', u'think', u'refill', u'water', u'I', u'struggle', u'wave', u'10', u'minutes']"
60,"[u'This', u'place', u'receives', u'stars', u'for', u'their', u'APPETIZERS']",1,"[u'This', u'place', u'receives', u'stars', u'APPETIZERS']"
61,"[u'The', u'cocktails', u'are', u'all', u'handmade', u'and', u'delicious']",1,"[u'The', u'cocktails', u'handmade', u'delicious']"
62,"[u'We', u'd', u'definitely', u'go', u'back', u'here', u'again']",1,"[u'We', u'definitely', u'go', u'back']"
63,"[u'We', u'are', u'so', u'glad', u'we', u'found', u'this', u'place']",1,"[u'We', u'glad', u'found', u'place']"
64,"[u'Great', u'food', u'and', u'service', u'huge', u'portions', u'and', u'they', u'give', u'a', u'military', u'discount']",1,"[u'Great', u'food', u'service', u'huge', u'portions', u'give', u'military', u'discount']"
65,"[u'Always', u'a', u'great', u'time', u'at', u'Dos', u'Gringos']",1,"[u'Always', u'great', u'time', u'Dos', u'Gringos']"
66,"[u'Update', u'went', u'back', u'for', u'a', u'second', u'time', u'and', u'it', u'was', u'still', u'just', u'as', u'amazing']",1,"[u'Update', u'went', u'back', u'second', u'time', u'still', u'amazing']"
67,"[u'We', u'got', u'the', u'food', u'and', u'apparently', u'they', u'have', u'never', u'heard', u'of', u'salt', u'and', u'the', u'batter', u'on', u'the', u'fish', u'was', u'chewy']",0,"[u'We', u'got', u'food', u'apparently', u'never', u'heard', u'salt', u'batter', u'fish', u'chewy']"
68,"[u'A', u'great', u'way', u'to', u'finish', u'a', u'great']",1,"[u'A', u'great', u'way', u'finish', u'great']"
69,"[u'The', u'deal', u'included', u'5', u'tastings', u'and', u'2', u'drinks', u'and', u'Jeff', u'went', u'above', u'and', u'beyond', u'what', u'we', u'expected']",1,"[u'The', u'deal', u'included', u'5', u'tastings', u'2', u'drinks', u'Jeff', u'went', u'beyond', u'expected']"
70,"[u'Really', u'really', u'good', u'rice', u'all', u'the', u'time']",1,"[u'Really', u'really', u'good', u'rice', u'time']"
71,"[u'The', u'service', u'was', u'meh']",0,"[u'The', u'service', u'meh']"
72,"[u'It', u'took', u'over', u'30', u'min', u'to', u'get', u'their', u'milkshake', u'which', u'was', u'nothing', u'more', u'than', u'chocolate', u'milk']",0,"[u'It', u'took', u'30', u'min', u'get', u'milkshake', u'nothing', u'chocolate', u'milk']"
73,"[u'I', u'guess', u'I', u'should', u'have', u'known', u'that', u'this', u'place', u'would', u'suck', u'because', u'it', u'is', u'inside', u'of', u'the', u'Excalibur', u'but', u'I', u'didn', u't', u'use', u'my', u'common', u'sense']",0,"[u'I', u'guess', u'I', u'known', u'place', u'would', u'suck', u'inside', u'Excalibur', u'I', u'use', u'common', u'sense']"
74,"[u'The', u'scallop', u'dish', u'is', u'quite', u'appalling', u'for', u'value', u'as', u'well']",0,"[u'The', u'scallop', u'dish', u'quite', u'appalling', u'value', u'well']"
75,"[u'2', u'times', u'Very', u'Bad', u'Customer', u'Service']",0,"[u'2', u'times', u'Very', u'Bad', u'Customer', u'Service']"
76,"[u'The', u'sweet', u'potato', u'fries', u'were', u'very', u'good', u'and', u'seasoned', u'well']",1,"[u'The', u'sweet', u'potato', u'fries', u'good', u'seasoned', u'well']"
77,"[u'Today', u'is', u'the', u'second', u'time', u'I', u've', u'been', u'to', u'their', u'lunch', u'buffet', u'and', u'it', u'was', u'pretty', u'good']",1,"[u'Today', u'second', u'time', u'I', u'lunch', u'buffet', u'pretty', u'good']"
78,"[u'There', u'is', u'so', u'much', u'good', u'food', u'in', u'Vegas', u'that', u'I', u'feel', u'cheated', u'for', u'wasting', u'an', u'eating', u'opportunity', u'by', u'going', u'to', u'Rice', u'and', u'Company']",0,"[u'There', u'much', u'good', u'food', u'Vegas', u'I', u'feel', u'cheated', u'wasting', u'eating', u'opportunity', u'going', u'Rice', u'Company']"
79,"[u'Coming', u'here', u'is', u'like', u'experiencing', u'an', u'underwhelming', u'relationship', u'where', u'both', u'parties', u'can', u't', u'wait', u'for', u'the', u'other', u'person', u'to', u'ask', u'to', u'break', u'up']",0,"[u'Coming', u'like', u'experiencing', u'underwhelming', u'relationship', u'parties', u'wait', u'person', u'ask', u'break']"
80,"[u'walked', u'in', u'and', u'the', u'place', u'smelled', u'like', u'an', u'old', u'grease', u'trap', u'and', u'only', u'2', u'others', u'there', u'eating']",0,"[u'walked', u'place', u'smelled', u'like', u'old', u'grease', u'trap', u'2', u'others', u'eating']"
81,"[u'The', u'turkey', u'and', u'roast', u'beef', u'were', u'bland']",0,"[u'The', u'turkey', u'roast', u'beef', u'bland']"
82,"[u'This', u'place', u'has', u'it']",1,"[u'This', u'place']"
83,"[u'The', u'pan', u'cakes', u'everyone', u'are', u'raving', u'about', u'taste', u'like', u'a', u'sugary', u'disaster', u'tailored', u'to', u'the', u'palate', u'of', u'a', u'six', u'year', u'old']",0,"[u'The', u'pan', u'cakes', u'everyone', u'raving', u'taste', u'like', u'sugary', u'disaster', u'tailored', u'palate', u'six', u'year', u'old']"
84,"[u'I', u'love', u'the', u'Pho', u'and', u'the', u'spring', u'rolls', u'oh', u'so', u'yummy', u'you', u'have', u'to', u'try']",1,"[u'I', u'love', u'Pho', u'spring', u'rolls', u'oh', u'yummy', u'try']"
85,"[u'The', u'poor', u'batter', u'to', u'meat', u'ratio', u'made', u'the', u'chicken', u'tenders', u'very', u'unsatisfying']",0,"[u'The', u'poor', u'batter', u'meat', u'ratio', u'made', u'chicken', u'tenders', u'unsatisfying']"
86,"[u'All', u'I', u'have', u'to', u'say', u'is', u'the', u'food', u'was', u'amazing']",1,"[u'All', u'I', u'say', u'food', u'amazing']"
87,"[u'Omelets', u'are', u'to', u'die', u'for']",1,"[u'Omelets', u'die']"
88,"[u'Everything', u'was', u'fresh', u'and', u'delicious']",1,"[u'Everything', u'fresh', u'delicious']"
89,"[u'In', u'summary', u'this', u'was', u'a', u'largely', u'disappointing', u'dining', u'experience']",0,"[u'In', u'summary', u'largely', u'disappointing', u'dining', u'experience']"
90,"[u'It', u's', u'like', u'a', u'really', u'sexy', u'party', u'in', u'your', u'mouth', u'where', u'you', u're', u'outrageously', u'flirting', u'with', u'the', u'hottest', u'person', u'at', u'the', u'party']",1,"[u'It', u'like', u'really', u'sexy', u'party', u'mouth', u'outrageously', u'flirting', u'hottest', u'person', u'party']"
91,"[u'Never', u'been', u'to', u'Hard', u'Rock', u'Casino', u'before', u'WILL', u'NEVER', u'EVER', u'STEP', u'FORWARD', u'IN', u'IT', u'AGAIN']",0,"[u'Never', u'Hard', u'Rock', u'Casino', u'WILL', u'NEVER', u'EVER', u'STEP', u'FORWARD', u'IN', u'IT', u'AGAIN']"
92,"[u'Best', u'breakfast', u'buffet']",1,"[u'Best', u'breakfast', u'buffet']"
93,"[u'say', u'bye', u'bye', u'to', u'your', u'tip', u'lady']",0,"[u'say', u'bye', u'bye', u'tip', u'lady']"
94,"[u'We', u'll', u'never', u'go', u'again']",0,"[u'We', u'never', u'go']"
95,"[u'Will', u'be', u'back', u'again']",1,"[u'Will', u'back']"
96,"[u'Food', u'arrived', u'quickly']",1,"[u'Food', u'arrived', u'quickly']"
97,"[u'It', u'was', u'not', u'good']",0,"[u'It', u'good']"
98,"[u'On', u'the', u'up', u'side', u'their', u'cafe', u'serves', u'really', u'good', u'food']",1,"[u'On', u'side', u'cafe', u'serves', u'really', u'good', u'food']"
99,"[u'Our', u'server', u'was', u'fantastic', u'and', u'when', u'he', u'found', u'out', u'the', u'wife', u'loves', u'roasted', u'garlic', u'and', u'bone', u'marrow', u'he', u'added', u'extra', u'to', u'our', u'meal', u'and', u'another', u'marrow', u'to', u'go']",1,"[u'Our', u'server', u'fantastic', u'found', u'wife', u'loves', u'roasted', u'garlic', u'bone', u'marrow', u'added', u'extra', u'meal', u'another', u'marrow', u'go']"
100,"[u'The', u'only', u'good', u'thing', u'was', u'our', u'waiter', u'he', u'was', u'very', u'helpful', u'and', u'kept', u'the', u'bloddy', u'mary', u's', u'coming']",1,"[u'The', u'good', u'thing', u'waiter', u'helpful', u'kept', u'bloddy', u'mary', u'coming']"
101,"[u'Best', u'Buffet', u'in', u'town', u'for', u'the', u'price', u'you', u'cannot', u'beat', u'it']",1,"[u'Best', u'Buffet', u'town', u'price', u'cannot', u'beat']"
102,"[u'I', u'LOVED', u'their', u'mussels', u'cooked', u'in', u'this', u'wine', u'reduction', u'the', u'duck', u'was', u'tender', u'and', u'their', u'potato', u'dishes', u'were', u'delicious']",1,"[u'I', u'LOVED', u'mussels', u'cooked', u'wine', u'reduction', u'duck', u'tender', u'potato', u'dishes', u'delicious']"
103,"[u'This', u'is', u'one', u'of', u'the', u'better', u'buffets', u'that', u'I', u'have', u'been', u'to']",1,"[u'This', u'one', u'better', u'buffets', u'I']"
104,"[u'So', u'we', u'went', u'to', u'Tigerlilly', u'and', u'had', u'a', u'fantastic', u'afternoon']",1,"[u'So', u'went', u'Tigerlilly', u'fantastic', u'afternoon']"
105,"[u'The', u'food', u'was', u'delicious', u'our', u'bartender', u'was', u'attentive', u'and', u'personable', u'AND', u'we', u'got', u'a', u'great', u'deal']",1,"[u'The', u'food', u'delicious', u'bartender', u'attentive', u'personable', u'AND', u'got', u'great', u'deal']"
106,"[u'The', u'ambience', u'is', u'wonderful', u'and', u'there', u'is', u'music', u'playing']",1,"[u'The', u'ambience', u'wonderful', u'music', u'playing']"
107,"[u'Will', u'go', u'back', u'next', u'trip', u'out']",1,"[u'Will', u'go', u'back', u'next', u'trip']"
108,"[u'Sooooo', u'good']",1,"[u'Sooooo', u'good']"
109,"[u'REAL', u'sushi', u'lovers', u'let', u's', u'be', u'honest', u'Yama', u'is', u'not', u'that', u'good']",0,"[u'REAL', u'sushi', u'lovers', u'let', u'honest', u'Yama', u'good']"
110,"[u'At', u'least', u'40min', u'passed', u'in', u'between', u'us', u'ordering', u'and', u'the', u'food', u'arriving', u'and', u'it', u'wasn', u't', u'that', u'busy']",0,"[u'At', u'least', u'40min', u'passed', u'us', u'ordering', u'food', u'arriving', u'busy']"
111,"[u'This', u'is', u'a', u'really', u'fantastic', u'Thai', u'restaurant', u'which', u'is', u'definitely', u'worth', u'a', u'visit']",1,"[u'This', u'really', u'fantastic', u'Thai', u'restaurant', u'definitely', u'worth', u'visit']"
112,"[u'Nice', u'spicy', u'and', u'tender']",1,"[u'Nice', u'spicy', u'tender']"
113,"[u'Good', u'prices']",1,"[u'Good', u'prices']"
114,"[u'Check', u'it', u'out']",1,[u'Check']
115,"[u'It', u'was', u'pretty', u'gross']",0,"[u'It', u'pretty', u'gross']"
116,"[u'I', u've', u'had', u'better', u'atmosphere']",0,"[u'I', u'better', u'atmosphere']"
117,"[u'Kind', u'of', u'hard', u'to', u'mess', u'up', u'a', u'steak', u'but', u'they', u'did']",0,"[u'Kind', u'hard', u'mess', u'steak']"
118,"[u'Although', u'I', u'very', u'much', u'liked', u'the', u'look', u'and', u'sound', u'of', u'this', u'place', u'the', u'actual', u'experience', u'was', u'a', u'bit', u'disappointing']",0,"[u'Although', u'I', u'much', u'liked', u'look', u'sound', u'place', u'actual', u'experience', u'bit', u'disappointing']"
119,"[u'I', u'just', u'don', u't', u'know', u'how', u'this', u'place', u'managed', u'to', u'served', u'the', u'blandest', u'food', u'I', u'have', u'ever', u'eaten', u'when', u'they', u'are', u'preparing', u'Indian', u'cuisine']",0,"[u'I', u'know', u'place', u'managed', u'served', u'blandest', u'food', u'I', u'ever', u'eaten', u'preparing', u'Indian', u'cuisine']"
120,"[u'Worst', u'service', u'to', u'boot', u'but', u'that', u'is', u'the', u'least', u'of', u'their', u'worries']",0,"[u'Worst', u'service', u'boot', u'least', u'worries']"
121,"[u'Service', u'was', u'fine', u'and', u'the', u'waitress', u'was', u'friendly']",1,"[u'Service', u'fine', u'waitress', u'friendly']"
122,"[u'The', u'guys', u'all', u'had', u'steaks', u'and', u'our', u'steak', u'loving', u'son', u'who', u'has', u'had', u'steak', u'at', u'the', u'best', u'and', u'worst', u'places', u'said', u'it', u'was', u'the', u'best', u'steak', u'he', u's', u'ever', u'eaten']",1,"[u'The', u'guys', u'steaks', u'steak', u'loving', u'son', u'steak', u'best', u'worst', u'places', u'said', u'best', u'steak', u'ever', u'eaten']"
123,"[u'We', u'thought', u'you', u'd', u'have', u'to', u'venture', u'further', u'away', u'to', u'get', u'good', u'sushi', u'but', u'this', u'place', u'really', u'hit', u'the', u'spot', u'that', u'night']",1,"[u'We', u'thought', u'venture', u'away', u'get', u'good', u'sushi', u'place', u'really', u'hit', u'spot', u'night']"
124,"[u'Host', u'staff', u'were', u'for', u'lack', u'of', u'a', u'better', u'word', u'BITCHES']",0,"[u'Host', u'staff', u'lack', u'better', u'word', u'BITCHES']"
125,"[u'Bland', u'Not', u'a', u'liking', u'this', u'place', u'for', u'a', u'number', u'of', u'reasons', u'and', u'I', u'don', u't', u'want', u'to', u'waste', u'time', u'on', u'bad', u'reviewing', u'I', u'll', u'leave', u'it', u'at', u'that']",0,"[u'Bland', u'Not', u'liking', u'place', u'number', u'reasons', u'I', u'want', u'waste', u'time', u'bad', u'reviewing', u'I', u'leave']"
126,"[u'Phenomenal', u'food', u'service', u'and', u'ambiance']",1,"[u'Phenomenal', u'food', u'service', u'ambiance']"
127,"[u'I', u'wouldn', u't', u'return']",0,"[u'I', u'return']"
128,"[u'Definitely', u'worth', u'venturing', u'off', u'the', u'strip', u'for', u'the', u'pork', u'belly', u'will', u'return', u'next', u'time', u'I', u'm', u'in', u'Vegas']",1,"[u'Definitely', u'worth', u'venturing', u'strip', u'pork', u'belly', u'return', u'next', u'time', u'I', u'Vegas']"
129,"[u'This', u'place', u'is', u'way', u'too', u'overpriced', u'for', u'mediocre', u'food']",0,"[u'This', u'place', u'way', u'overpriced', u'mediocre', u'food']"
130,"[u'Penne', u'vodka', u'excellent']",1,"[u'Penne', u'vodka', u'excellent']"
131,"[u'They', u'have', u'a', u'good', u'selection', u'of', u'food', u'including', u'a', u'massive', u'meatloaf', u'sandwich', u'a', u'crispy', u'chicken', u'wrap', u'a', u'delish', u'tuna', u'melt', u'and', u'some', u'tasty', u'burgers']",1,"[u'They', u'good', u'selection', u'food', u'including', u'massive', u'meatloaf', u'sandwich', u'crispy', u'chicken', u'wrap', u'delish', u'tuna', u'melt', u'tasty', u'burgers']"
132,"[u'The', u'management', u'is', u'rude']",0,"[u'The', u'management', u'rude']"
133,"[u'Delicious', u'NYC', u'bagels', u'good', u'selections', u'of', u'cream', u'cheese', u'real', u'Lox', u'with', u'capers', u'even']",1,"[u'Delicious', u'NYC', u'bagels', u'good', u'selections', u'cream', u'cheese', u'real', u'Lox', u'capers', u'even']"
134,"[u'Great', u'Subway', u'in', u'fact', u'it', u's', u'so', u'good', u'when', u'you', u'come', u'here', u'every', u'other', u'Subway', u'will', u'not', u'meet', u'your', u'expectations']",1,"[u'Great', u'Subway', u'fact', u'good', u'come', u'every', u'Subway', u'meet', u'expectations']"
135,"[u'I', u'had', u'a', u'seriously', u'solid', u'breakfast', u'here']",1,"[u'I', u'seriously', u'solid', u'breakfast']"
136,"[u'This', u'is', u'one', u'of', u'the', u'best', u'bars', u'with', u'food', u'in', u'Vegas']",1,"[u'This', u'one', u'best', u'bars', u'food', u'Vegas']"
137,"[u'He', u'was', u'extremely', u'rude', u'and', u'really', u'there', u'are', u'so', u'many', u'other', u'restaurants', u'I', u'would', u'love', u'to', u'dine', u'at', u'during', u'a', u'weekend', u'in', u'Vegas']",0,"[u'He', u'extremely', u'rude', u'really', u'many', u'restaurants', u'I', u'would', u'love', u'dine', u'weekend', u'Vegas']"
138,"[u'My', u'drink', u'was', u'never', u'empty', u'and', u'he', u'made', u'some', u'really', u'great', u'menu', u'suggestions']",1,"[u'My', u'drink', u'never', u'empty', u'made', u'really', u'great', u'menu', u'suggestions']"
139,"[u'Don', u't', u'do', u'it']",0,[u'Don']
140,"[u'The', u'waiter', u'wasn', u't', u'helpful', u'or', u'friendly', u'and', u'rarely', u'checked', u'on', u'us']",0,"[u'The', u'waiter', u'helpful', u'friendly', u'rarely', u'checked', u'us']"
141,"[u'My', u'husband', u'and', u'I', u'ate', u'lunch', u'here', u'and', u'were', u'very', u'disappointed', u'with', u'the', u'food', u'and', u'service']",0,"[u'My', u'husband', u'I', u'ate', u'lunch', u'disappointed', u'food', u'service']"
142,"[u'And', u'the', u'red', u'curry', u'had', u'so', u'much', u'bamboo', u'shoots', u'and', u'wasn', u't', u'very', u'tasty', u'to', u'me']",0,"[u'And', u'red', u'curry', u'much', u'bamboo', u'shoots', u'tasty']"
